주요 품목 가격
1/15
품  목,단  위,등급,금일가격(A),전일가격(B),전년가격(C),전일 대비,전년 대비
2013.08.11,2013.08.10,2012.08.10,등 락,A/B(%),등 락,A/C(%)
수박,8키로개,중,0,"13,023","15,808",,0,,0
수박,8키로개,하,0,"7,232","11,702",,0,,0
수박,10키로상자,특,0,"19,734","19,700",,0,,0
수박,10키로상자,상,0,"15,771","18,604",,0,,0
수박,10키로상자,중,0,"13,492","16,312",,0,,0
수박,10키로상자,하,0,"8,723","12,947",,0,,0
복수박,5키로상자,상,0,"12,000","12,326",,0,,0
복수박,5키로상자,중,0,"11,537","10,138",,0,,0
복수박,5키로상자,하,0,"8,525","6,862",,0,,0
서울시농수산식품공사,2013년08월11일 일 03시49분57초 오후
주요 품목 가격
4/15
품  목,단  위,등급,금일가격(A),전일가격(B),전년가격(C),전일 대비,전년 대비
2013.08.11,2013.08.10,2012.08.10,등 락,A/B(%),등 락,A/C(%)
참외 일반,10키로상자,특,0,"36,695","46,911",,0,,0
참외 일반,10키로상자,상,0,"24,790","34,923",,0,,0
참외 일반,10키로상자,중,0,"15,513","23,637",,0,,0
참외 일반,10키로상자,하,0,"9,303","14,275",,0,,0
백다다기오이,100개,특,0,"40,954","66,440",,0,,0
백다다기오이,100개,상,0,"30,122","59,450",,0,,0
백다다기오이,100개,중,0,"20,443","46,956",,0,,0
백다다기오이,100개,하,0,"9,982","23,593",,0,,0
노각오이,15키로상자,상,0,"18,974","12,174",,0,,0
노각오이,15키로상자,중,0,"12,542","7,619",,0,,0
노각오이,15키로상자,하,0,"6,996","4,498",,0,,0
오이 취청,50개,특,0,"12,103","21,765",,0,,0
오이 취청,50개,상,0,"9,546","18,748",,0,,0
오이 취청,50개,중,0,"6,995","16,360",,0,,0
오이 취청,50개,하,0,"4,130","9,734",,0,,0
츄키니호박,10키로상자,특,0,"18,389","20,000",,0,,0
츄키니호박,10키로상자,상,0,"16,278","17,737",,0,,0
츄키니호박,10키로상자,중,0,"12,711","15,257",,0,,0
츄키니호박,10키로상자,하,0,"7,195","9,582",,0,,0
조선 애호박,20개,특,0,"15,891","7,817",,0,,0
조선 애호박,20개,상,0,"13,069","6,648",,0,,0
조선 애호박,20개,중,0,"9,040","4,670",,0,,0
조선 애호박,20개,하,0,"5,266","3,119",,0,,0
단호박,8키로망대,상,0,"8,500","10,133",,0,,0
단호박,8키로망대,중,0,"7,500","7,671",,0,,0
단호박,8키로망대,하,0,"5,000","5,772",,0,,0
늙은호박,1개,상,0,"12,500","12,600",,0,,0
늙은호박,1개,중,0,"7,000","7,050",,0,,0
늙은호박,1개,하,0,"3,250","3,350",,0,,0
토마토,5키로상자,특,0,"15,923","12,832",,0,,0
서울시농수산식품공사,2013년08월11일 일 03시49분57초 오후
주요 품목 가격
5/15
품  목,단  위,등급,금일가격(A),전일가격(B),전년가격(C),전일 대비,전년 대비
2013.08.11,2013.08.10,2012.08.10,등 락,A/B(%),등 락,A/C(%)
토마토,5키로상자,상,0,"12,317","7,800",,0,,0
토마토,5키로상자,중,0,"8,303","6,233",,0,,0
토마토,5키로상자,하,0,"5,956","4,442",,0,,0
토마토,10키로상자,특,0,"35,868","18,030",,0,,0
토마토,10키로상자,상,0,"28,009","13,716",,0,,0
토마토,10키로상자,중,0,"19,515","10,694",,0,,0
토마토,10키로상자,하,0,"10,660","7,390",,0,,0
토마토 방울,5키로상자,특,0,"28,741","10,751",,0,,0
토마토 방울,5키로상자,상,0,"27,218","8,004",,0,,0
토마토 방울,5키로상자,중,0,"24,034","5,962",,0,,0
토마토 방울,5키로상자,하,0,"16,811","4,277",,0,,0
메론 머스크,5키로상자,특,0,"20,750",0,,0,,0
메론 머스크,5키로상자,상,0,"16,176",0,,0,,0
메론 머스크,5키로상자,중,0,"11,150",0,,0,,0
메론 머스크,5키로상자,하,0,"7,821",0,,0,,0
메론 머스크,8키로상자,특,0,"20,345","27,174",,0,,0
메론 머스크,8키로상자,상,0,"17,288","24,317",,0,,0
메론 머스크,8키로상자,중,0,"14,001","19,081",,0,,0
메론 머스크,8키로상자,하,0,"9,287","13,825",,0,,0
가지,8키로상자,상,0,"23,940","12,395",,0,,0
가지,8키로상자,중,0,"18,613","9,143",,0,,0
가지,8키로상자,하,0,"11,864","6,065",,0,,0
무,18키로상자(비닐포),특,0,"16,044","12,317",,0,,0
무,18키로상자(비닐포),상,0,"14,133","10,084",,0,,0
무,18키로상자(비닐포),중,0,"9,044","6,889",,0,,0
무,18키로상자(비닐포),하,0,"4,204","3,376",,0,,0
알타리 무,2키로단,상,0,"3,900","3,000",,0,,0
알타리 무,2키로단,중,0,"3,000","2,500",,0,,0
알타리 무,2키로단,하,0,"2,000","1,800",,0,,0
열무,4키로상자,상,0,"6,761","5,056",,0,,0
서울시농수산식품공사,2013년08월11일 일 03시49분57초 오후
주요 품목 가격
6/15
품  목,단  위,등급,금일가격(A),전일가격(B),전년가격(C),전일 대비,전년 대비
2013.08.11,2013.08.10,2012.08.10,등 락,A/B(%),등 락,A/C(%)
열무,4키로상자,하,0,"2,356","1,369",,0,,0
열무,1.5키로단,상,0,"3,400","1,533",,0,,0
열무,1.5키로단,중,0,"2,400","1,033",,0,,0
열무,1.5키로단,하,0,"1,250",645,,0,,0
당근,20키로상자,상,0,"29,500","24,500",,0,,0
당근,20키로상자,중,0,"25,000","19,500",,0,,0
당근,20키로상자,하,0,"19,000","16,000",,0,,0
당근 수입,10키로상자,상,0,"11,000","9,000",,0,,0
우엉,4키로,상,0,"21,500","8,500",,0,,0
우엉,4키로,중,0,"17,000","5,500",,0,,0
더덕,1키로,상,0,"14,000","13,000",,0,,0
수삼 4년근,15키로상자,상,0,0,"370,842",,0,,0
수삼 4년근,15키로상자,중,0,0,"309,769",,0,,0
수삼 4년근,15키로상자,하,0,0,"259,133",,0,,0
수삼 5년근,15키로상자,상,0,0,"867,500",,0,,0
수삼 5년근,15키로상자,중,0,0,"577,500",,0,,0
수삼 5년근,15키로상자,하,0,0,"429,000",,0,,0
수삼 6년근,15키로상자,상,0,0,"969,500",,0,,0
수삼 6년근,15키로상자,중,0,0,"632,500",,0,,0
수삼 6년근,15키로상자,하,0,0,"366,000",,0,,0
깐도라지 수입,4키로,상,0,0,"19,000",,0,,0
건고추 양건,600그람,상,0,"8,750","14,500",,0,,0
건고추 양건,600그람,중,0,"8,000","12,500",,0,,0
건고추 양건,600그람,하,0,"7,250","10,500",,0,,0
건고추 화건,600그람,상,0,"7,250","13,000",,0,,0
건고추 화건,600그람,중,0,"6,750","11,750",,0,,0
건고추 화건,600그람,하,0,"6,250","10,000",,0,,0
건고추 수입,1키로,상,0,"6,150","6,500",,0,,0
건고추 수입,1키로,중,0,"6,050","6,150",,0,,0
건고추 수입,1키로,하,0,"5,950","5,750",,0,,0
서울시농수산식품공사,2013년08월11일 일 03시49분57초 오후
주요 품목 가격
7/15
품  목,단  위,등급,금일가격(A),전일가격(B),전년가격(C),전일 대비,전년 대비
2013.08.11,2013.08.10,2012.08.10,등 락,A/B(%),등 락,A/C(%)
풋고추,10키로상자,특,0,"29,175","40,369",,0,,0
풋고추,10키로상자,상,0,"23,133","32,819",,0,,0
풋고추,10키로상자,중,0,"16,871","24,847",,0,,0
풋고추,10키로상자,하,0,"7,969","13,097",,0,,0
꽈리 풋고추,4키로상자,특,0,"22,532","27,003",,0,,0
꽈리 풋고추,4키로상자,상,0,"16,257","19,725",,0,,0
꽈리 풋고추,4키로상자,중,0,"9,328","12,186",,0,,0
